tipo_post;post_id;post_link;link;link_domain
link;71339054219_10153112780939220;https://www.facebook.com/71339054219/posts/10153112780939220;http://a.ln.com.ar/1MHlhIP;a.ln.com.ar
link;71339054219_10153112794044220;https://www.facebook.com/71339054219/posts/10153112794044220;http://a.ln.com.ar/1KLUfg1;a.ln.com.ar
link;71339054219_10153112818944220;https://www.facebook.com/71339054219/posts/10153112818944220;http://a.ln.com.ar/1KLEHZE;a.ln.com.ar
photo;71339054219_10153112858659220;https://www.facebook.com/71339054219/posts/10153112858659220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112858659220/?type=3;facebook.com
photo;71339054219_10153112865304220;https://www.facebook.com/71339054219/posts/10153112865304220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112865304220/?type=3;facebook.com
photo;71339054219_10153112879909220;https://www.facebook.com/71339054219/posts/10153112879909220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112879909220/?type=3;facebook.com
photo;71339054219_10153112881844220;https://www.facebook.com/71339054219/posts/10153112881844220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112881844220/?type=3;facebook.com
photo;71339054219_10153112883394220;https://www.facebook.com/71339054219/posts/10153112883394220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112883394220/?type=3;facebook.com
photo;71339054219_10153112884469220;https://www.facebook.com/71339054219/posts/10153112884469220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112884469220/?type=3;facebook.com
photo;71339054219_10153112885879220;https://www.facebook.com/71339054219/posts/10153112885879220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112885879220/?type=3;facebook.com
link;71339054219_10153112889224220;https://www.facebook.com/71339054219/posts/10153112889224220;http://www.sodimac.com.ar/catalogo;sodimac.com.ar
photo;71339054219_10153112904584220;https://www.facebook.com/71339054219/posts/10153112904584220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112904584220/?type=3;facebook.com
photo;71339054219_10153112919109220;https://www.facebook.com/71339054219/posts/10153112919109220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112919109220/?type=3;facebook.com
link;71339054219_10153112925549220;https://www.facebook.com/71339054219/posts/10153112925549220;http://a.ln.com.ar/1OKuDkD;a.ln.com.ar
link;71339054219_10153112941669220;https://www.facebook.com/71339054219/posts/10153112941669220;http://a.ln.com.ar/1MHFFtk;a.ln.com.ar
link;71339054219_10153112976124220;https://www.facebook.com/71339054219/posts/10153112976124220;http://a.ln.com.ar/1KLUhVn;a.ln.com.ar
video;71339054219_10153112992689220;https://www.facebook.com/71339054219/posts/10153112992689220;https://www.facebook.com/lanacion/videos/10153112992689220/;facebook.com
link;71339054219_10153113005084220;https://www.facebook.com/71339054219/posts/10153113005084220;http://a.ln.com.ar/1KMaMRl;a.ln.com.ar
link;71339054219_10153113034514220;https://www.facebook.com/71339054219/posts/10153113034514220;http://a.ln.com.ar/1IGVnlK;a.ln.com.ar
link;71339054219_10153113065689220;https://www.facebook.com/71339054219/posts/10153113065689220;http://a.ln.com.ar/1KMjqzd;a.ln.com.ar
link;71339054219_10153113104279220;https://www.facebook.com/71339054219/posts/10153113104279220;http://a.ln.com.ar/1IGOrVP;a.ln.com.ar
link;71339054219_10153113134899220;https://www.facebook.com/71339054219/posts/10153113134899220;http://a.ln.com.ar/1MHLkiZ;a.ln.com.ar
link;71339054219_10153113169969220;https://www.facebook.com/71339054219/posts/10153113169969220;http://a.ln.com.ar/1MI32Tz;a.ln.com.ar
photo;71339054219_10153113224449220;https://www.facebook.com/71339054219/posts/10153113224449220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153113224449220/?type=3;facebook.com
link;71339054219_10153113231634220;https://www.facebook.com/71339054219/posts/10153113231634220;http://a.ln.com.ar/1IHlfxT;a.ln.com.ar
link;71339054219_10153113294419220;https://www.facebook.com/71339054219/posts/10153113294419220;http://a.ln.com.ar/1OL82El;a.ln.com.ar
video;71339054219_10153113313144220;https://www.facebook.com/71339054219/posts/10153113313144220;https://www.facebook.com/lanacion/videos/10153113313144220/;facebook.com
video;71339054219_10153113323124220;https://www.facebook.com/71339054219/posts/10153113323124220;https://www.facebook.com/lanacion/videos/10153113323124220/;facebook.com
link;71339054219_10153113323339220;https://www.facebook.com/71339054219/posts/10153113323339220;http://a.ln.com.ar/1KMFM3z;a.ln.com.ar
